Date,adv_pct,dec_pct,unch_pct,pct_above_20dma,pct_above_50dma,pct_above_200dma,ret_gt_5_pct,ret_4_5_pct,ret_3_4_pct,ret_2_3_pct,ret_1_2_pct,ret_0_1_pct,ret_m1_0_pct,ret_m2_m1_pct,ret_m3_m2_pct,ret_m4_m3_pct,ret_m5_m4_pct,ret_lt_m5_pct,high_20d_pct,low_20d_pct,hl_diff_20d_pct,high_63d_pct,low_63d_pct,hl_diff_63d_pct,high_126d_pct,low_126d_pct,hl_diff_126d_pct,high_252d_pct,low_252d_pct,hl_diff_252d_pct
2026-01-01,49.69,48.47,7.01,49.22,30.94,30.87,2.52,3.1,2.72,5.38,9.9,26.07,33.32,13.24,4.63,1.63,2.08,0.58,11.71,5.28,6.43,4.36,3.0,1.36,3.34,2.21,1.12,2.72,1.36,1.36
2025-12-31,68.85,29.08,7.0,49.29,30.03,30.57,2.85,3.7,5.77,10.22,20.31,25.99,22.21,6.18,3.4,1.49,2.04,0.75,9.88,4.14,5.74,3.74,2.41,1.32,3.06,1.97,1.09,2.31,1.26,1.05
2025-12-30,40.44,57.25,7.32,36.18,25.43,29.03,1.84,2.76,2.55,5.11,8.88,19.3,34.65,15.21,7.35,3.44,2.52,1.4,5.92,14.19,-8.27,2.59,9.53,-6.94,2.04,7.18,-5.14,1.6,3.88,-2.28
2025-12-29,28.63,69.92,5.36,35.8,25.36,29.37,1.82,2.22,1.79,2.9,6.3,13.61,32.54,19.97,10.91,5.29,4.34,2.22,5.69,14.48,-8.79,2.09,9.2,-7.11,1.48,7.14,-5.66,1.04,4.01,-2.96
2025-12-26,34.96,62.97,6.79,42.77,28.24,30.79,2.1,2.75,1.97,3.56,7.16,17.41,37.34,17.31,8.66,3.09,2.34,1.02,8.11,8.86,-0.75,3.94,5.16,-1.22,3.02,3.97,-0.95,2.24,2.21,0.03
2025-12-24,38.45,58.91,7.3,46.15,29.25,31.32,2.54,2.38,2.95,3.94,8.45,18.19,37.7,16.66,6.79,2.07,2.04,0.95,8.89,6.18,2.71,4.04,3.8,0.24,3.02,2.88,0.14,2.31,1.43,0.88
2025-12-23,55.54,41.92,7.2,47.28,29.42,31.79,2.96,3.16,3.29,5.98,12.81,27.34,31.18,9.75,4.04,1.66,1.83,0.65,11.14,4.08,7.07,4.79,2.24,2.55,3.74,1.9,1.83,2.72,1.15,1.56
2025-12-22,69.97,27.93,6.29,42.71,27.36,30.98,4.09,5.34,5.92,9.91,17.55,27.16,20.19,6.66,2.74,2.0,1.76,0.88,11.02,3.96,7.07,5.75,2.4,3.35,4.43,1.89,2.54,2.81,0.91,1.89
2025-12-19,68.51,29.3,7.32,31.38,24.14,29.95,3.45,3.42,4.96,10.05,20.03,26.6,22.7,6.8,3.11,1.47,1.61,0.92,5.61,6.29,-0.68,2.6,4.44,-1.85,1.74,3.56,-1.81,1.16,2.09,-0.92
2025-12-18,36.6,61.24,7.44,22.82,20.46,28.2,2.33,1.75,1.58,3.46,7.27,20.22,34.17,17.99,8.67,3.84,2.57,1.44,4.25,22.24,-17.99,2.4,16.28,-13.88,1.78,11.89,-10.11,1.3,6.24,-4.93
2025-12-17,28.7,69.22,6.86,23.11,21.71,28.87,1.81,1.74,1.74,1.98,6.08,15.36,34.61,19.93,11.43,4.3,3.82,1.98,3.89,19.83,-15.94,2.05,13.75,-11.71,1.64,10.24,-8.6,1.23,5.53,-4.3
2025-12-16,29.6,68.38,7.19,27.13,23.67,29.77,1.44,1.75,2.16,3.19,7.33,13.74,37.14,22.34,8.84,3.25,2.88,1.13,4.52,11.96,-7.43,1.78,8.05,-6.27,1.3,6.1,-4.8,0.89,3.36,-2.47
2025-12-15,50.46,47.29,6.71,30.98,25.4,30.27,2.62,2.89,3.47,6.09,11.99,23.39,31.49,11.3,5.21,2.38,2.49,1.12,6.84,6.71,0.14,3.98,4.46,-0.48,2.93,3.71,-0.78,2.25,2.21,0.03
2025-12-12,63.97,33.84,7.34,28.76,25.26,30.1,3.5,3.29,4.6,6.97,15.99,29.62,26.87,8.24,3.23,1.17,1.2,0.48,6.45,6.38,0.07,3.67,4.39,-0.72,2.81,3.5,-0.69,2.2,1.96,0.24
2025-12-11,60.09,37.85,7.17,21.93,22.79,29.07,2.64,2.75,2.99,6.35,15.65,29.72,26.49,10.09,4.08,2.09,1.27,1.0,5.08,8.89,-3.81,2.4,6.04,-3.64,1.82,4.56,-2.75,1.24,2.71,-1.48
2025-12-10,40.68,56.75,7.59,17.61,20.08,28.66,2.95,2.37,2.99,5.66,8.69,18.02,34.16,16.1,7.66,3.33,2.2,0.89,3.47,17.71,-14.25,1.75,10.64,-8.89,1.3,7.59,-6.28,0.82,3.95,-3.12
2025-12-09,63.84,34.52,6.37,18.29,21.34,29.14,5.21,4.59,6.75,11.03,14.52,21.75,23.49,8.84,3.84,2.05,1.64,1.03,3.22,15.68,-12.47,1.61,10.07,-8.46,1.3,7.74,-6.44,0.89,4.25,-3.36
2025-12-08,13.79,84.75,4.73,14.84,19.51,27.11,1.22,1.42,0.91,1.18,2.7,6.36,18.39,18.02,18.02,14.6,9.87,10.58,2.57,47.16,-44.59,1.32,32.18,-30.87,0.91,24.44,-23.53,0.71,12.47,-11.76
2025-12-05,38.67,59.92,6.39,24.61,25.95,30.97,1.79,1.96,1.89,2.82,9.04,21.18,29.43,17.12,9.63,4.5,3.3,2.34,5.81,26.16,-20.35,3.54,18.8,-15.26,2.34,13.72,-11.38,1.55,7.15,-5.6
2025-12-04,40.94,56.73,6.89,23.54,26.1,31.55,1.3,2.02,1.82,4.11,9.63,22.06,33.85,15.52,7.16,2.95,2.36,1.78,4.59,22.03,-17.44,2.91,15.59,-12.68,1.78,11.37,-9.59,1.16,5.82,-4.66
2025-12-03,28.95,69.13,6.33,23.75,26.04,31.72,0.96,1.68,1.78,2.81,7.29,14.44,31.72,21.7,11.33,5.61,2.81,2.29,4.45,25.7,-21.25,2.4,17.9,-15.5,1.44,13.35,-11.91,0.99,6.61,-5.61
2025-12-02,30.02,68.19,6.71,28.68,28.54,32.98,1.48,1.89,1.38,2.58,6.88,15.82,39.34,18.4,8.84,3.85,1.99,2.48,4.4,18.6,-14.2,2.75,13.2,-10.45,1.82,10.01,-8.18,1.34,5.02,-3.68
2025-12-01,40.01,57.78,6.21,30.42,29.57,33.29,2.25,2.69,2.25,4.09,8.19,20.53,31.62,16.23,7.74,3.48,2.83,2.08,7.5,14.05,-6.55,4.16,9.62,-5.46,2.93,7.44,-4.5,2.15,3.99,-1.84
2025-11-28,43.87,53.59,7.25,31.4,29.85,33.6,2.51,2.71,2.3,4.02,8.83,23.5,34.59,15.12,5.91,2.23,1.75,1.24,6.39,11.37,-4.98,4.05,7.83,-3.78,3.3,5.77,-2.47,2.44,2.85,-0.41
2025-11-27,43.59,54.04,7.01,31.25,29.25,34.24,2.23,2.72,2.89,4.37,8.83,22.55,36.4,13.68,6.12,1.93,1.72,1.2,6.57,8.56,-1.99,4.68,5.98,-1.31,3.27,4.47,-1.2,2.34,2.23,0.1
2025-11-26,73.16,25.15,6.66,30.53,29.98,34.29,3.24,4.62,5.21,10.62,23.15,26.32,20.08,5.59,3.17,1.0,1.17,0.79,7.21,6.11,1.1,5.04,4.48,0.55,3.52,3.28,0.24,2.73,1.55,1.17
2025-11-25,49.52,48.83,6.37,23.43,26.12,32.17,2.51,2.99,2.75,5.95,13.25,22.06,30.83,12.49,6.09,2.31,2.06,1.41,3.13,22.33,-19.2,2.1,15.11,-13.01,1.62,11.8,-10.19,1.07,5.64,-4.58
2025-11-24,23.82,74.78,5.22,22.32,25.39,31.37,1.37,2.08,1.43,2.49,5.84,10.61,24.68,18.26,14.16,10.27,7.06,5.56,3.21,38.12,-34.91,2.35,24.4,-22.05,1.57,18.53,-16.96,0.96,8.43,-7.47
2025-11-21,23.05,75.23,6.48,27.11,28.38,33.83,1.45,2.31,1.52,1.89,4.72,11.16,31.11,24.49,14.05,6.37,4.0,1.69,3.48,29.9,-26.42,2.2,18.5,-16.29,1.65,13.81,-12.16,1.07,6.41,-5.34
2025-11-20,41.33,56.5,6.67,32.02,32.29,35.83,1.99,2.75,2.41,4.09,8.98,21.11,33.67,14.48,7.7,3.47,2.2,1.65,7.46,19.6,-12.14,5.43,12.83,-7.39,3.85,9.53,-5.67,2.82,4.71,-1.89
2025-11-19,41.97,56.38,6.05,32.28,32.52,36.09,2.34,2.41,2.68,4.68,8.9,20.97,30.18,15.85,8.22,3.44,2.72,2.03,7.49,21.28,-13.78,5.5,13.13,-7.63,3.61,9.28,-5.67,2.82,4.23,-1.41
2025-11-18,28.02,70.81,5.5,32.11,32.76,36.16,1.86,2.3,1.51,3.06,6.22,13.06,32.73,22.69,11.38,4.74,2.65,2.13,5.71,22.1,-16.4,3.54,12.89,-9.35,2.27,9.49,-7.22,1.75,4.13,-2.37
2025-11-17,49.98,48.76,4.21,37.19,34.44,37.56,3.5,3.9,2.85,5.56,10.86,23.31,23.38,12.72,6.55,3.94,2.75,3.63,9.74,15.64,-5.9,6.35,9.16,-2.82,4.38,6.52,-2.14,3.26,3.33,-0.07
2025-11-14,43.37,54.84,5.87,36.02,33.45,37.4,2.88,2.85,2.95,3.74,9.62,21.33,29.95,14.01,7.76,3.78,2.92,2.3,7.42,15.04,-7.62,4.22,8.76,-4.53,2.88,6.56,-3.67,2.34,2.82,-0.48
2025-11-13,39.55,58.48,6.53,35.79,34.44,37.65,2.73,3.52,2.76,5.56,7.7,17.27,33.2,15.3,8.12,3.56,2.63,2.21,7.08,14.47,-7.39,3.56,8.91,-5.35,2.31,6.63,-4.32,1.62,3.18,-1.55
2025-11-12,60.88,37.25,6.47,37.15,35.11,38.19,3.67,3.84,4.77,7.47,15.39,25.74,25.63,8.65,4.25,1.73,1.87,1.59,9.65,10.1,-0.45,5.71,6.16,-0.45,3.63,4.57,-0.93,2.66,1.83,0.83
2025-11-11,46.6,51.23,6.63,31.71,33.06,36.37,2.42,2.94,2.25,5.18,11.88,21.93,26.6,14.4,7.88,3.8,2.66,2.52,6.53,19.0,-12.47,3.9,12.23,-8.32,2.94,8.64,-5.7,2.0,4.11,-2.11
2025-11-10,44.14,53.73,5.94,30.06,32.57,36.59,2.75,3.64,3.13,5.15,9.62,19.86,24.39,15.08,8.49,4.64,3.37,3.71,5.6,21.26,-15.66,3.4,12.61,-9.21,2.54,7.21,-4.67,1.75,3.95,-2.2
2025-11-07,48.47,49.58,6.73,30.5,33.07,37.4,3.02,2.91,3.44,5.66,11.76,21.69,28.31,13.88,5.9,3.57,3.05,1.6,5.66,20.06,-14.4,3.71,11.94,-8.22,2.74,7.01,-4.27,1.84,3.85,-2.01
2025-11-06,21.38,77.1,5.95,29.19,32.83,37.01,1.49,2.08,1.25,2.08,4.39,10.1,26.15,21.1,16.71,8.61,5.4,5.08,3.74,27.91,-24.18,2.32,14.11,-11.8,1.56,8.16,-6.61,0.93,4.43,-3.49
2025-11-04,29.99,68.66,6.14,39.43,39.57,40.58,1.74,1.87,1.67,3.54,7.12,14.06,34.99,21.14,10.0,4.51,2.22,1.94,7.43,14.34,-6.91,4.13,7.39,-3.26,3.09,4.13,-1.04,1.87,2.22,-0.35
2025-11-03,53.96,43.73,6.56,47.12,42.56,41.66,3.04,3.9,3.49,6.32,11.92,25.28,26.7,11.4,5.18,2.8,2.11,2.11,12.06,9.81,2.25,6.98,5.04,1.93,5.01,2.76,2.25,2.97,1.55,1.42
2025-10-31,35.71,61.83,7.29,43.8,40.95,41.13,1.81,2.67,2.08,4.24,8.79,16.12,39.53,17.02,6.98,2.71,1.81,1.08,7.68,9.8,-2.12,4.1,4.55,-0.45,2.74,2.43,0.31,1.81,1.22,0.59
