Date,adv,dec,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nh,nl,nhnl,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_dist_200_z,nifty50_dma200_slope_pct,nifty50_persistence_200,nifty50_vol_20_z,nifty50_vol_50_z,nifty50_mom_126,nifty_total_dist_200_z,nifty_total_dma200_slope_pct,nifty_total_persistence_200,nifty_total_vol_20_z,nifty_total_vol_50_z,nifty_total_mom_126
1995-01-02,0,0,0,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-03,19,23,-4,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-04,20,28,-8,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-05,5,36,-31,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-06,13,27,-14,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-09,6,36,-30,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-10,5,36,-31,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-11,24,26,-2,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-12,20,26,-6,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-13,20,19,1,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-16,31,11,20,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-17,26,22,4,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-18,37,16,21,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-19,28,17,11,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-20,19,29,-10,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-23,7,48,-41,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-24,15,43,-28,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-25,31,18,13,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-27,33,16,17,,0.0,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-30,28,19,9,,4.225352112676056,,,0.0,,,0.0,,,0,0,0,,,,,,,,,,,,,,,,,
1995-01-31,38,19,19,,4.938271604938271,,4.938271604938271,0.0,,0.0,0.0,,0.0,0,0,0,,0.40849166326077424,,,,,,,,,,,,,,,
1995-02-01,26,28,-2,,8.108108108108109,,8.108108108108109,0.0,,0.0,0.0,,0.0,0,0,0,,0.4361494933577781,,,,,,,,,,,,,,,
1995-02-02,30,20,10,,13.698630136986301,,13.698630136986301,0.0,,0.0,0.0,,0.0,0,0,0,,0.40005587476045623,,,,,,,,,,,,,,,
1995-02-03,27,30,-3,,13.750000000000002,,13.750000000000002,0.0,,0.0,0.0,,0.0,0,0,0,,0.43585954063677196,,,,,,,,,,,,,,,
1995-02-06,16,39,-23,,13.513513513513514,,13.513513513513514,0.0,,0.0,0.0,,0.0,0,0,0,,0.41366027944579814,,,,,,,,,,,,,,,
1995-02-07,8,49,-41,,6.8181818181818175,,6.8181818181818175,0.0,,0.0,0.0,,0.0,0,0,0,,0.37909658764212817,,,,,,,,,,,,,,,
1995-02-08,29,33,-4,,10.112359550561797,,10.112359550561797,0.0,,0.0,0.0,,0.0,0,0,0,,0.3688223491173169,,,,,,,,,,,,,,,
